url,name,star_rating,knowledge_domain
www.investopedia.com,"Investopedia",4.8,Finance
www.bloomberg.com,"Bloomberg",4.7,Finance
www.wsj.com,"The Wall Street Journal (WSJ)",4.9,Finance
www.forbes.com,"Forbes Finance",4.5,Finance
www.ft.com,"Financial Times (FT)",4.9,Finance
www.nerdwallet.com,"NerdWallet",4.6,Finance
www.cnbc.com,"CNBC Markets",4.5,Finance
finance.yahoo.com,"Yahoo Finance",4.4,Finance
www.morningstar.com,"Morningstar",4.7,Finance
seekingalpha.com,"Seeking Alpha",4.3,Finance
www.fool.com,"The Motley Fool",4.5,Finance
www.marketwatch.com,"MarketWatch",4.6,Finance
www.bankrate.com,"Bankrate",4.5,Finance
www.kiplinger.com,"Kiplinger",4.4,Finance
www.reuters.com,"Reuters Finance",4.7,Finance
www.spglobal.com,"S&P Global",4.8,Finance
www.federalreserve.gov,"Federal Reserve",5.0,Finance
www.sec.gov,"SEC (U.S. Securities and Exchange Commission)",5.0,Finance
www.msci.com,"MSCI",4.7,Finance
www.economist.com,"The Economist - Finance Section",4.8,Finance
www.worldbank.org,"World Bank Finance",5.0,Finance
www.imf.org,"IMF Finance",5.0,Finance
www.berkshirehathaway.com,"Warren Buffett’s Berkshire Hathaway",4.9,Finance
www.blackrock.com,"BlackRock",4.7,Finance
investor.vanguard.com,"Vanguard",4.7,Finance
www.fidelity.com,"Fidelity Investments",4.6,Finance
www.schwab.com,"Charles Schwab",4.6,Finance
www.jpmorganchase.com,"J.P. Morgan Chase",4.8,Finance
www.goldmansachs.com,"Goldman Sachs",4.8,Finance
www.bofaml.com,"Bank of America Merrill Lynch",4.7,Finance
www.mayoclinic.org,"Mayo Clinic",5.0,Health
www.webmd.com,"WebMD",4.5,Health
www.healthline.com,"Healthline",4.7,Health
www.health.harvard.edu,"Harvard Health",4.9,Health
my.clevelandclinic.org,"Cleveland Clinic",4.8,Health
www.medicalnewstoday.com,"Medical News Today",4.6,Health
www.verywellhealth.com,"Verywell Health",4.5,Health
www.cdc.gov,"Centers for Disease Control and Prevention (CDC)",5.0,Health
www.nih.gov,"National Institutes of Health (NIH)",5.0,Health
www.who.int,"World Health Organization (WHO)",5.0,Health
www.medlineplus.gov,"MedlinePlus",5.0,Health
www.fda.gov,"U.S. Food and Drug Administration (FDA)",5.0,Health
www.heart.org,"American Heart Association",4.9,Health
www.cancer.org,"American Cancer Society",4.9,Health
www.diabetes.org,"American Diabetes Association",4.8,Health
www.lung.org,"American Lung Association",4.7,Health
www.arthritis.org,"Arthritis Foundation",4.6,Health
www.mentalhealth.gov,"U.S. Government Mental Health Resources",5.0,Health
www.nami.org,"National Alliance on Mental Illness (NAMI)",4.7,Health
www.psychiatry.org,"American Psychiatric Association",4.8,Health
www.asco.org,"American Society of Clinical Oncology",4.9,Health
www.stroke.org,"National Stroke Association",4.7,Health
www.crohnscolitisfoundation.org,"Crohn’s & Colitis Foundation",4.6,Health
www.kidney.org,"National Kidney Foundation",4.7,Health
www.breastcancer.org,"BreastCancer.org",4.8,Health
www.alz.org,"Alzheimer’s Association",4.8,Health
www.parkinson.org,"Parkinson’s Foundation",4.7,Health
www.aids.gov,"HIV.gov (formerly AIDS.gov)",5.0,Health
www.womenshealth.gov,"U.S. Office on Women’s Health",5.0,Health
www.menshealth.com,"Men’s Health",4.5,Health
www.nejm.org,"The New England Journal of Medicine (NEJM)",5.0,Medicine
www.thelancet.com,"The Lancet",5.0,Medicine
www.jamanetwork.com,"JAMA (Journal of the American Medical Association)",5.0,Medicine
www.bmj.com,"The BMJ (British Medical Journal)",5.0,Medicine
www.ncbi.nlm.nih.gov,"PubMed (NCBI)",5.0,Medicine
www.nature.com,"Nature Medicine",4.9,Medicine
www.sciencedirect.com,"ScienceDirect - Medicine",4.8,Medicine
www.medscape.com,"Medscape",4.7,Medicine
www.ema.europa.eu,"European Medicines Agency (EMA)",5.0,Medicine
